,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class,category,wnsynset,wnsynsetkey,up,front,aligned.minPoint,aligned.maxPoint,aligned.dims,isCornerPiece
23,122_2,,,,,door/single_hinge_door,n03221720,door.n.01,0/1/0,0/0/1,-40.0/0.0/-7.0,40.0/211.99998/7.0000095,80.0/211.99998/14.00001,
24,123,hanger,hanger,2.0,cabinet,hanger/__SYM_REFLECT_LR,n03490884,hanger.n.02,,,-28.428999/0.17597198/-5.92651,28.428999/29.945099/5.8818197,56.857998/29.769127/11.80833,
25,124,wall_lamp,indoor_lamp,2.0,lamp,indoor_lamp/wall_lamp/__SYM_REFLECT_LR,n03636649,lamp.n.02,,,-6.00004/-0.00680542/-10.903,5.99996/21.6266/8.86237,12.0/21.633406/19.76537,
26,125,kitchen_sink,kitchen_cabinet,2.0,counter,kitchen_cabinet/kitchen_sink/__SYM_REFLECT_C1_APPROX/__CORNER_C1,n02933112,cabinet.n.01,,,-60.839897/0.0/-61.553802,59.160202/90.13731/59.446198,120.0001/90.13731/121.0,1.0
27,126,window,window,2.0,window,window,n04587648,window.n.01,,,-35.0/0.0/-10.0,35.0/140.0/7.5,70.0/140.0/17.5,
28,127,wall_lamp,indoor_lamp,2.0,lamp,indoor_lamp/wall_lamp/__SYM_REFLECT_LR,n03636649,lamp.n.02,,,-6.5/0.01720047/-8.48018,6.5/21.4893/6.4975996,13.0/21.4721/14.977779,
29,128,nightstand,stand,2.0,night_stand,stand/nightstand/__SYM_REFLECT_LR,n03015254,chest_of_drawers.n.01,,,-40.0/0.0/-30.747002,40.0/116.99899/30.7724,80.0/116.99899/61.5194,
30,129,dresser,dresser,2.0,dresser,dresser,n03015254,chest_of_drawers.n.01,,,-60.000004/0.0/-14.8375,60.000004/90.0/15.6,120.00001/90.0/30.4375,
31,130,plant,plant,2.0,otherprop,plant/__SYM_ROTATE_UP_INF,n00017222,plant.n.02,,,-24.389301/0.0/-23.2081,32.2941/60.2371/28.5079,56.683403/60.2371/51.716,
32,131,refrigerator,kitchen_appliance,2.0,refridgerator,kitchen_appliance/refrigerator,n04070727,refrigerator.n.01,,,-45.0/0.15167236/-31.086998,45.0/180.0/31.0,90.0/179.84833/62.086998,
33,132,sink,sink,2.0,sink,sink/__SYM_REFLECT_LR,n04223580,sink.n.01,,,-31.4134/0.0/-22.4381,31.4134/97.879395/22.4382,62.8268/97.879395/44.8763,
34,133,double_hinge_door,door,2.0,door,door/double_hinge_door/__SYM_REFLECT_LR_APPROX,n03221720,door.n.01,0/1/0,0/0/1,-95.0/0.0/-9.430939,95.0/211.99998/67.569,190.0/211.99998/76.99994,
35,133_0,,,,,door/double_hinge_door/__SYM_REFLECT_LR_APPROX,n03221720,door.n.01,0/1/0,0/0/1,-95.0/0.0/-9.430941,95.0/211.99998/16.3259,190.0/211.99998/25.75684,
36,133_2,,,,,door/double_hinge_door/__SYM_REFLECT_LR_APPROX,n03221720,door.n.01,,,-95.0/0.0/-9.430939,95.0/211.99998/9.43095,190.0/211.99998/18.861889,
37,134,table_and_chair,table_and_chair,2.0,table,table_and_chair/__SYM_ROTATE_UP_2,,,,,-77.5/0.0/-65.495804,77.5/92.8589/65.54741,155.0/92.8589/131.04321,
38,135,shower,shower,2.0,shower_curtain,shower/__SYM_REFLECT_C1_APPROX/__CORNER_C1,n04208936,shower.n.01,,,-50.0/0.0/-40.0,50.000603/230.0/40.000397,100.0006/230.0/80.0004,1.0
39,136,fish_tank,toy,2.0,otherprop,toy/fish_tank/__SYM_REFLECT_C1/__CORNER_C1,n02732072,aquarium.n.01,,,-46.945198/0.0/-46.822502,47.028694/149.95801/47.142998,93.97389/149.95801/93.9655,1.0
40,137,kitchen_sink,kitchen_cabinet,2.0,counter,kitchen_cabinet/kitchen_sink/__SYM_REFLECT_C1_APPROX/__CORNER_C1,n02933112,cabinet.n.01,,,-60.2048/0.0/-60.0774,59.7645/90.001396/59.922493,119.9693/90.001396/119.99989,1.0
41,138,kitchen_sink,kitchen_cabinet,2.0,counter,kitchen_cabinet/kitchen_sink/__SYM_REFLECT_C1_APPROX/__CORNER_C1,n02933112,cabinet.n.01,,,-60.2048/0.0/-60.0775,59.7952/90.001396/59.9226,120.0/90.001396/120.0001,1.0
42,139,shower,shower,2.0,shower_curtain,shower/__SYM_REFLECT_C2/__CORNER_C2,n04208936,shower.n.01,,,-39.998795/0.0/-40.0,40.0/207.92699/39.9989,79.998795/207.92699/79.9989,1.0
43,140,dresser,dresser,2.0,dresser,dresser/__SYM_REFLECT_LR,n03015254,chest_of_drawers.n.01,,,-55.0/0.0/-25.050697,55.0/104.99999/25.0,110.0/104.99999/50.050697,
44,141,dressing_table,dressing_table,2.0,desk,dressing_table/__SYM_REFLECT_LR,n03238586,dressing_table.n.01,,,-40.0/0.0/-13.508999,40.0/119.00001/13.500698,80.0/119.00001/27.009697,
45,142,straight_chair,chair,2.0,chair,chair/straight_chair/__SYM_REFLECT_LR,n04331277,straight_chair.n.01,0/1/0,0/0/-1,-22.4986/0.0/-16.023102,22.5014/100.424/22.7398,45.0/100.424/38.7629,
46,143,piano,music,2.0,otherprop,music/piano/__SYM_REFLECT_LR_APPROX,n03928116,piano.n.01,,,-76.0/0.0/-30.000002,76.0/138.0/30.000002,152.0/138.0/60.000004,
47,144,mirror,mirror,2.0,mirror,mirror/__SYM_ROTATE_FRONT_2,n03773035,mirror.n.01,,,-30.000002/0.0/-1.0,30.000002/120.00001/1.00001,60.000004/120.00001/2.00001,
48,145,shoes_cabinet,shoes_cabinet,2.0,cabinet,shoes_cabinet/__SYM_ROTATE_UP_2,n02933112,cabinet.n.01,,,-44.5/0.0/-16.5,44.5/52.0/16.5,89.0/52.0/33.0,
49,146,nightstand,stand,2.0,night_stand,stand/nightstand/__SYM_REFLECT_LR,n03015254,chest_of_drawers.n.01,0/1/0,1/0/0,-24.0/0.0/-20.0,24.0/52.999996/20.0,48.0/52.999996/40.0,
50,147,nightstand,stand,2.0,night_stand,stand/nightstand,n03015254,chest_of_drawers.n.01,,,-25.0/0.0/-19.890999,25.0/50.0/20.0,50.0/50.0/39.891,
51,148,book,books,2.0,otherprop,books/book/__SYM_ROTATE_LR_2,n02870526,book.n.11,,,-8.5/-4.7683716E-7/-10.0,8.5/5.0/10.0,17.0/5.0000005/20.0,
52,149,cup,kitchenware,2.0,otherprop,kitchenware/cup/__SYM_REFLECT_FB,n03797390,mug.n.04,,,-8.21073/0.0/-8.01718,8.0171795/9.44916/8.01718,16.22791/9.44916/16.03436,
53,150,bidet,toilet,2.0,toilet,toilet/bidet/__SYM_REFLECT_LR,n02836174,bidet.n.01,,,-19.7566/0.07016754/-30.104801,19.7566/59.231102/29.242798,39.5132/59.160934/59.3476,
54,151,stairs,stairs,1.0,floor,stairs/__CORNER_C3,n04314914,step.n.04,,,-134.78302/0.0/-175.827,139.245/337.339/180.173,274.028/337.339/356.0,
55,152,stairs,stairs,1.0,floor,stairs/__SYM_REFLECT_LR,n04314914,step.n.04,,,-64.4192/0.027160645/-170.4,64.4192/350.354/171.62,128.8384/350.32684/342.02,
56,153,rug,rug,2.0,floor_mat,rug/__SYM_ROTATE_UP_2,n04118021,rug.n.01,,,-50.0/-1.9073486E-6/-43.0,50.0/1.5/43.0,100.0/1.5000019/86.0,
57,154,pan,kitchenware,2.0,otherprop,kitchenware/pan/__SYM_REFLECT_FB,n03880531,pan.n.01,,,-26.457/-4.7683716E-7/-15.811101,26.5019/7.19456/15.811101,52.9589/7.1945605/31.622202,
58,155,sofa,sofa,2.0,sofa,sofa/__SYM_REFLECT_LR,n04256520,sofa.n.01,,,-120.50001/0.04182434/-48.516,120.50001/83.0177/48.5,241.00002/82.975876/97.016,
59,156,sofa,sofa,2.0,sofa,sofa/__SYM_REFLECT_LR,n04256520,sofa.n.01,,,-107.50001/0.23564911/-46.0,107.50001/88.811806/46.0,215.00002/88.57616/92.0,
60,157,sofa,sofa,2.0,sofa,sofa/__CORNER_C1,n04256520,sofa.n.01,,,-135.558/0.0/-75.619995,135.558/104.204/72.879395,271.116/104.204/148.49939,
61,166,armchair,chair,2.0,chair,chair/armchair/__SYM_REFLECT_LR,n02738535,armchair.n.01,,,-31.5/0.0/-39.970703,31.5/71.0/40.0,63.0/71.0/79.9707,
62,167,sofa,sofa,2.0,sofa,sofa/__CORNER_C1/__CORNER_C2,n04256520,sofa.n.01,,,-151.7533/0.0/-96.44591,151.9527/104.478096/96.8506,303.706/104.478096/193.29651,
63,168,sofa,sofa,2.0,sofa,sofa/__CORNER_C2,n04256520,sofa.n.01,,,-119.031/0.0/-74.5,119.00001/80.81979/74.5,238.031/80.81979/149.0,
64,169,armchair,chair,2.0,sofa,chair/armchair/sofa_chair/__SYM_REFLECT_LR,n03262932,easy_chair.n.01,,,-50.161396/0.0/-41.5247,50.161396/81.6311/41.5985,100.32279/81.6311/83.1232,
65,170,sofa,sofa,2.0,sofa,sofa/__SYM_REFLECT_LR,n04256520,sofa.n.01,,,-60.5206/0.0/-55.5149,60.5206/110.22299/56.903297,121.0412/110.22299/112.4182,
66,171,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-54.000004/0.0/-32.0,54.000004/46.0/32.0,108.00001/46.0/64.0,
67,172,coffee_table,table,2.0,table,table/coffee_table/__SYM_REFLECT_FB,n03063968,coffee_table.n.01,,,-46.0/0.012573242/-25.5,46.0/50.001198/25.5,92.0/49.988625/51.0,
68,173,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-60.000004/0.0/-33.0,60.000004/48.0/33.0,120.00001/48.0/66.0,
69,174,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_3,n03063968,coffee_table.n.01,,,-29.0/0.07758713/-29.0,29.0/56.0345/29.0,58.0/55.956913/58.0,
70,175,wall_lamp,indoor_lamp,2.0,lamp,indoor_lamp/wall_lamp/__SYM_REFLECT_LR,n03636649,lamp.n.02,,,-20.0/-0.18050575/-10.9941,20.0/24.6287/11.0059,40.0/24.809206/22.0,
71,176,wall_lamp,indoor_lamp,2.0,lamp,indoor_lamp/wall_lamp/__SYM_REFLECT_LR,n03636649,lamp.n.02,,,-6.76554/0.23444939/-7.79827,6.76554/13.7655/7.9553595,13.53108/13.531051/15.75363,
72,178,wall_lamp,indoor_lamp,2.0,lamp,indoor_lamp/wall_lamp,n03636649,lamp.n.02,,,-9.35617/-0.022029877/-34.995995,14.046399/15.978001/1.9573498,23.402569/16.00003/36.953342,
73,179,wall_lamp,indoor_lamp,2.0,lamp,indoor_lamp/wall_lamp/__SYM_REFLECT_LR,n03636649,lamp.n.02,,,-20.903/0.01994133/-18.9183,20.903/12.0/2.0838003,41.806/11.980059/21.0021,
74,180,wall_lamp,indoor_lamp,2.0,lamp,indoor_lamp/wall_lamp/__SYM_REFLECT_LR,n03636649,lamp.n.02,,,-20.5/0.6371193/-14.007799,20.5/31.4673/17.9922,41.0/30.830181/32.0,
75,181,sink,sink,2.0,sink,sink,n04223580,sink.n.01,,,-48.0/35.0/-22.0,48.0/103.649994/22.0,96.0/68.649994/44.0,
76,182,wardrobe_cabinet,wardrobe_cabinet,2.0,cabinet,wardrobe_cabinet,n02933112,cabinet.n.01,,,-37.5/0.0/-12.000702,37.5/78.977295/12.0,75.0/78.977295/24.000702,
77,183,sink,sink,2.0,sink,sink/__SYM_REFLECT_LR,n04223580,sink.n.01,,,-49.0/-0.013519287/-30.6666,49.0/51.3717/33.3145,98.0/51.38522/63.9811,
78,184,wardrobe_cabinet,wardrobe_cabinet,2.0,cabinet,wardrobe_cabinet,n02933112,cabinet.n.01,,,-200.0/0.0/-25.0,200.0/220.0/25.0,400.0/220.0/50.0,
79,185,game_table,recreation,2.0,otherprop,recreation/game_table/__SYM_ROTATE_UP_2,n04379243,table.n.02,,,-148.989/0.0/-85.5,148.989/81.038895/85.5,297.978/81.038895/171.0,
80,186,sink,sink,2.0,sink,sink/__SYM_REFLECT_LR,n04223580,sink.n.01,,,-42.0/0.024375916/-29.700699,42.0/71.8483/27.825401,84.0/71.82392/57.5261,
81,187,wardrobe_cabinet,wardrobe_cabinet,2.0,cabinet,wardrobe_cabinet/__CORNER_C2,n02933112,cabinet.n.01,,,-67.5/0.0021972656/-44.992096,67.5/216.00299/45.0,135.0/216.0008/89.992096,1.0
82,188,shelving,shelving,2.0,shelves,shelving,n04190052,shelf.n.01,,,-35.0/0.0/-14.9091,35.0/65.0/15.0909,70.0/65.0/30.0,
83,189,computer,computer,2.0,television,computer,n03082979,computer.n.01,,,-32.475002/-0.22236252/-17.948399,32.475002/51.9491/18.0023,64.950005/52.171463/35.9507,
84,190,baby_bed,bed,2.0,bed,bed/baby_bed/__SYM_REFLECT_LR,n02766320,baby_bed.n.01,0/1/0,1/0/0,-37.5007/0.0/-65.4911,37.500595/102.0/65.4911,75.0013/102.0/130.9822,
85,191,bookshelf,shelving,2.0,bookshelf,shelving/bookshelf/__SYM_REFLECT_LR,n02871439,bookshelf.n.01,,,-20.0/0.0/-21.7855,20.0/203.0/19.25,40.0/203.0/41.0355,
86,192,shelving,shelving,2.0,shelves,shelving,n04190052,shelf.n.01,,,-15.9359/0.0/-9.15109,15.9359/137.627/10.8383,31.8718/137.627/19.98939,
87,193,shelving,shelving,2.0,shelves,shelving,n04190052,shelf.n.01,,,-80.0/-3.0517578E-5/-12.5,80.0/64.3424/12.5,160.0/64.34243/25.0,
88,194,wardrobe_cabinet,wardrobe_cabinet,2.0,cabinet,wardrobe_cabinet/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-100.0/0.0/-28.728802,100.0/209.99998/28.8,200.0/209.99998/57.5288,
89,195,nightstand,stand,2.0,night_stand,stand/nightstand/__SYM_REFLECT_LR,n03015254,chest_of_drawers.n.01,,,-23.0/0.0/-17.9753,23.0/65.0/18.0,46.0/65.0/35.9753,
90,196,armchair,chair,2.0,chair,chair/armchair/__SYM_REFLECT_LR,n04099969,rocking_chair.n.01,,,-30.000002/0.6789398/-49.964897,30.000002/103.770996/49.9858,60.000004/103.09206/99.9507,
91,197,nightstand,stand,2.0,night_stand,stand/nightstand/__SYM_REFLECT_LR,n03015254,chest_of_drawers.n.01,,,-22.5/0.0/-23.472801,22.5/44.0/23.5,45.0/44.0/46.9728,
92,198,tv_stand,tv_stand,2.0,cabinet,tv_stand/__SYM_ROTATE_UP_2,n03290653,entertainment_center.n.01,,,-55.5/0.0/-26.655201,55.5/43.9673/26.655201,111.0/43.9673/53.310402,
93,199,dressing_table,dressing_table,2.0,desk,dressing_table/__SYM_REFLECT_LR,n03238586,dressing_table.n.01,,,-40.000298/0.0/-41.429703,40.000298/116.228/41.645798,80.000595/116.228/83.0755,
94,200,dressing_table,dressing_table,2.0,desk,dressing_table,n03238586,dressing_table.n.01,,,-77.50009/-6.1035156E-5/-20.0509,77.5/113.86/20.0509,155.00009/113.86006/40.1018,
95,201,dressing_table,dressing_table,2.0,desk,dressing_table,n03238586,dressing_table.n.01,,,-70.5/0.0/-23.5265,70.5/153.011/23.5,141.0/153.011/47.0265,
96,202,dressing_table,dressing_table,2.0,desk,dressing_table/__SYM_REFLECT_LR,n03238586,dressing_table.n.01,,,-45.0/0.0/-21.970901,45.0/148.9529/22.0,90.0/148.9529/43.9709,
97,203,dressing_table,dressing_table,2.0,desk,dressing_table/__SYM_REFLECT_LR,n03238586,dressing_table.n.01,,,-80.5/0.0/-23.0,80.5/155.4008/23.0001,161.0/155.4008/46.0001,
98,204,double_bed,bed,2.0,bed,bed/double_bed/__SYM_REFLECT_LR,n03225988,double_bed.n.01,,,-109.5/0.0/-106.3524,109.5/102.237595/113.28339,219.0/102.237595/219.63579,
99,205,double_bed,bed,2.0,bed,bed/double_bed/__SYM_REFLECT_LR,n03225988,double_bed.n.01,,,-90.0/0.0/-101.5,90.0/75.0/101.5,180.0/75.0/203.0,
100,206,water_dispenser,kitchen_appliance,2.0,otherprop,kitchen_appliance/water_dispenser/__SYM_REFLECT_LR_APPROX,n03210683,dispenser.n.01,,,-17.5/-0.0017852783/-18.4574,17.5/140.87401/17.5426,35.0/140.8758/36.0,
101,207,wall_shelf,shelving,2.0,shelves,shelving/wall_shelf,n04190052,shelf.n.01,,,-77.5/0.0/-10.0,77.5/41.0/10.0,155.0/41.0/20.0,
102,208,hanger,hanger,2.0,cabinet,hanger/__SYM_ROTATE_FRONT_2,n03490884,hanger.n.02,,,-38.7706/-0.338315/-8.702501,38.7706/6.83831/9.5991,77.5412/7.176625/18.301601,
103,209,window,window,2.0,window,window/__SYM_REFLECT_LR,n04587648,window.n.01,,,-70.0/0.0/-10.0,70.0/140.0/7.5,140.0/140.0/17.5,
104,210,window,window,2.0,window,window,n04587648,window.n.01,,,-105.12/0.0/-10.0,104.88/140.0/7.5,210.0/140.0/17.5,
105,211,window,window,2.0,window,window,n04587648,window.n.01,,,-105.12/0.0/-10.0,104.88/140.0/7.5,210.0/140.0/17.5,
106,212,window,window,2.0,window,window/__SYM_REFLECT_LR,n04587648,window.n.01,,,-70.0/0.0/-10.0,70.0/140.0/7.5,140.0/140.0/17.5,
107,213,window,window,2.0,window,window,n04587648,window.n.01,,,-35.0/0.0/-10.0,35.0/140.0/7.5,70.0/140.0/17.5,
108,214,single_hinge_door,door,2.0,door,door/single_hinge_door,n03221720,door.n.01,0/1/0,0/0/1,-51.992397/0.0/-9.0,51.992397/211.99998/73.9998,103.984795/211.99998/82.9998,
109,214_0,,,,,door/single_hinge_door,n03221720,door.n.01,0/1/0,0/0/1,-51.992397/0.0/-9.0,51.992397/211.99998/15.982,103.984795/211.99998/24.982,
110,214_2,,,,,door/single_hinge_door,n03221720,door.n.01,,,-51.992397/0.0/-9.0,51.992397/211.99998/9.000011,103.984795/211.99998/18.000011,
111,215,television,television,2.0,television,television/__SYM_REFLECT_LR_APPROX,n04405907,television_receiver.n.01,,,-48.9962/-1.0435104/-2.5074801,49.0037/57.956497/2.5,97.9999/59.000008/5.00748,
112,216,television,television,2.0,television,television/__SYM_REFLECT_LR_APPROX,n04405907,television_receiver.n.01,,,-53.151703/-0.7712822/-2.5,52.8403/61.2741/2.5,105.992004/62.045383/5.0,
113,217,hanger,hanger,2.0,cabinet,hanger/__SYM_ROTATE_UP_4,n03490884,hanger.n.02,,,-19.0/0.0/-19.0,19.0/198.358/19.0,38.0/198.358/38.0,
114,218,stereo_set,music,2.0,otherprop,music/stereo_set/__SYM_REFLECT_LR_APPROX,n04315948,stereo.n.01,,,-42.0/-3.8146973E-6/-15.9,42.0/40.0/15.9,84.0/40.000004/31.8,
115,219,dishwasher,kitchen_appliance,2.0,otherprop,kitchen_appliance/dishwasher/__SYM_REFLECT_LR_APPROX,n03207941,dishwasher.n.01,,,-22.5/0.0/-30.650002,22.5/82.5525/30.5,45.0/82.5525/61.15,
116,220,food_processor,kitchen_appliance,2.0,otherprop,kitchen_appliance/food_processor,n03378174,food_processor.n.01,,,-15.5/0.0/-14.5,15.5/38.8715/14.5,31.0/38.8715/29.0,
117,221,coffee_machine,kitchen_appliance,2.0,otherprop,kitchen_appliance/coffee_machine,n03063338,coffee_maker.n.01,,,-14.5/0.0/-19.0,14.5/41.571/19.0,29.0/41.571/38.0,
118,222,microwave,kitchen_appliance,2.0,otherprop,kitchen_appliance/microwave,n03761084,microwave.n.02,0/1/0,0/0/1,-24.5/0.0/-13.500001,24.5/32.0/13.500001,49.0/32.0/27.000002,
119,223,vacuum_cleaner,household_appliance,2.0,otherprop,household_appliance/vacuum_cleaner,n04517823,vacuum.n.04,,,-35.0/-7.6293945E-6/-49.0,35.0/97.6392/49.0,70.0/97.639206/98.0,
120,224,iron,household_appliance,2.0,otherprop,household_appliance/iron/__SYM_REFLECT_LR,n03584829,iron.n.04,,,-7.5000005/0.0/-14.284599,7.5000005/17.1739/13.715401,15.000001/17.1739/28.0,
121,225,air_conditioner,air_conditioner,2.0,otherprop,air_conditioner/__SYM_REFLECT_LR_APPROX,n02686379,air_conditioner.n.01,,,-35.5/0.0/-17.5,35.500305/20.0004/13.5,71.000305/20.0004/31.0,
122,226,pedestal_fan,fan,2.0,otherprop,fan/pedestal_fan,n03320046,fan.n.01,,,-18.4999/0.0/-11.5,18.4999/114.888/11.495499,36.9998/114.888/22.995499,
123,227,air_conditioner,air_conditioner,2.0,otherprop,air_conditioner/__SYM_REFLECT_LR_APPROX,n02686379,air_conditioner.n.01,,,-24.0001/0.0/-24.1903,24.0001/88.8618/25.0,48.0002/88.8618/49.1903,
124,228,television,television,2.0,television,television/__SYM_REFLECT_LR_APPROX,n04405907,television_receiver.n.01,,,-62.516/0.29283905/-2.5,61.4858/74.2432/2.5,124.0018/73.95036/5.0,
125,229,towel_rack,bathroom_stuff,2.0,otherprop,bathroom_stuff/towel_rack/__SYM_REFLECT_LR,n04459773,towel_rack.n.01,,,-34.0062/0.9455185/-4.9575,34.0062/97.9108/5.0425,68.0124/96.96528/10.0,
126,230,heater,heater,2.0,otherprop,heater/__SYM_REFLECT_LR,n03508101,heater.n.01,,,-50.001694/0.022541046/-6.9025497,50.0/59.356396/6.9025,100.00169/59.333855/13.80505,
127,232,kitchen_sink,kitchen_cabinet,2.0,counter,kitchen_cabinet/kitchen_sink/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-40.0007/0.0/-30.0001,40.0007/90.13731/30.000004,80.0014/90.13731/60.000103,
128,233,nightstand,stand,2.0,night_stand,stand/nightstand/__SYM_REFLECT_LR,n03015254,chest_of_drawers.n.01,,,-20.0/0.0/-20.7552,20.0/59.0293/21.222202,40.0/59.0293/41.9774,
129,235,rug,rug,2.0,floor_mat,rug/__SYM_ROTATE_UP_2,n04118021,rug.n.01,,,-50.0/0.23070002/-25.0,50.0/1.5575/25.0,100.0/1.3268/50.0,
130,236,picture_frame,picture_frame,2.0,picture,picture_frame/__SYM_REFLECT_LR_APPROX,n03931765,picture_frame.n.01,,,-39.495598/0.004386902/-1.48934,39.495598/78.751305/1.48935,78.991196/78.74692/2.97869,
131,237,plant,plant,2.0,otherprop,plant/__SYM_ROTATE_UP_INF,n00017222,plant.n.02,,,-49.6555/0.0/-43.201805,32.8829/142.909/40.723,82.5384/142.909/83.924805,
132,238,rug,rug,2.0,floor_mat,rug/__SYM_ROTATE_UP_2,n04118021,rug.n.01,,,-125.0/0.0/-75.0,125.0/2.0/75.0,250.0/2.0/150.0,
133,239,mirror,mirror,2.0,mirror,mirror/__SYM_REFLECT_LR,n03773035,mirror.n.01,,,-30.000002/0.0043792725/-7.4815598,30.000002/179.81499/7.4888,60.000004/179.81061/14.97036,
134,240,floor_lamp,indoor_lamp,2.0,lamp,indoor_lamp/floor_lamp/__SYM_REFLECT_LR,n03367059,floor_lamp.n.01,,,-18.9849/0.0/-75.579895,18.9849/180.77701/59.603607,37.9698/180.77701/135.1835,
